date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2015-10-16,sh.603939,72.0,76.48,72.0,76.48,5258978.0,397361504.0,3,13.147445,1,9.9957,76.013861,8.717925,4.911017,119.13286200000002,0.0
2015-10-19,sh.603939,76.88,80.88,76.5,80.03,3953607.0,309402816.0,3,9.884018,1,4.6417,79.542224,9.122588,5.138973,124.662695,0.0
2015-10-20,sh.603939,77.72,78.4,73.53,77.23,3300874.0,251423162.0,3,8.252185,1,-3.4987,76.759289,8.803417,4.959177,120.301136,0.0
2015-10-21,sh.603939,77.77,77.77,69.52,69.58,3558091.0,261078664.0,3,8.895227,1,-9.9055,69.15591500000001,7.931397,4.467946,108.384735,0.0
2015-10-22,sh.603939,70.05,73.7,69.02,72.69,2618653.0,187458723.0,3,6.546633,1,4.4697,72.24696,8.285903999999999,4.667649,113.22918,0.0
2015-10-23,sh.603939,74.0,77.49,72.5,75.6,2382502.0,178749760.0,3,5.9562550000000005,1,4.0033,75.139224,8.617614,4.854508999999999,117.762086,0.0
2015-10-26,sh.603939,75.75,75.98,72.82,73.99,1958466.0,144382397.0,3,4.896165,1,-2.1296,73.539037,8.434091,4.751126,115.25419,0.0
2015-10-27,sh.603939,72.86,73.98,69.8,73.23,1755565.0,126324451.0,3,4.388912,1,-1.0272,72.78366899999999,8.347458999999999,4.702324,114.070338,0.0
2015-10-28,sh.603939,73.39,75.55,72.69,72.84,1652506.0,122735607.0,3,4.131265,1,-0.5326,68.866984,8.562978999999999,4.456761,296.47494900000004,0.0
2015-10-29,sh.603939,73.88,74.66,71.32,73.17,1174666.0,85366926.0,3,2.936665,1,0.4531,69.178985,8.601773,4.476952,297.818122,0.0
2015-10-30,sh.603939,72.98,74.43,71.65,73.36,1346543.0,98491353.0,3,3.366358,1,0.2597,69.358621,8.624108999999999,4.488578,298.59146400000003,0.0
2015-11-02,sh.603939,73.03,80.12,71.83,76.59,3450873.0,261000352.0,3,8.627182000000001,1,4.4029,72.41244300000001,9.003824,4.686207,311.73828,0.0
